,id,name
8,8,Agent 13
24,24,Angel Dust
25,25,Angel Salvadore
26,26,Angela
38,38,Arachne
40,40,Arclight
41,41,Ardina
43,43,Ariel
44,44,Armor
51,51,Atom Girl
55,55,Aurora
62,62,Batgirl
63,63,Batgirl
64,64,Batgirl III
65,65,Batgirl IV
66,66,Batgirl V
67,67,Batgirl VI
72,72,Batwoman V
80,80,Big Barda
85,85,Binary
86,86,Bionic Woman
96,96,Black Canary
97,97,Black Canary
98,98,Black Cat
103,103,Black Mamba
106,106,Black Widow
107,107,Black Widow II
113,113,Bling!
114,114,Blink
119,119,Bloodaxe
128,128,Bomb Queen
129,129,Boom-Boom
130,130,Boomer
139,139,Buffy
141,141,Bumblebee
145,145,Callisto
155,155,Captain Marvel
162,162,Cat
163,163,Cat II
164,164,Catwoman
167,167,Cerebra
171,171,Cheetah
172,172,Cheetah II
173,173,Cheetah III
177,177,Claire Bennet
185,185,Copycat
190,190,Crystal
197,197,Dagger
199,199,Daphne Powell
205,205,Darkstar
210,210,Dazzler
226,226,Domino
228,228,Donna Troy
235,235,Elastigirl
237,237,Elektra
238,238,Elle Bishop
240,240,Emma Frost
241,241,Enchantress
242,242,Energy
252,252,Faora
254,254,Fighting Spirit
256,256,Firebird
258,258,Firestar
270,270,Frenzy
271,271,Frigga
274,274,Gamora
283,283,Giganta
285,285,Goblin Queen
294,294,Granny Goodness
308,308,Harley Quinn
313,313,Hawkeye II
314,314,Hawkgirl
316,316,Hawkwoman
317,317,Hawkwoman II
318,318,Hawkwoman III
320,320,Hela
322,322,Hellcat
326,326,Hit-Girl
328,328,Hollow
329,329,Hope Summers
333,333,Huntress
334,334,Husk
341,341,Indigo
343,343,Invisible Woman
347,347,Isis
355,355,Jean Grey
357,357,Jennifer Kale
358,358,Jesse Quick
359,359,Jessica Cruz
360,360,Jessica Jones
361,361,Jessica Sanders
370,370,Jolt
371,371,Jubilee
376,376,Jyn Erso
380,380,Kathryn Janeway
381,381,Katniss Everdeen
387,387,Killer Frost
399,399,Lady Bullseye
400,400,Lady Deathstrike
406,406,Light Lass
411,411,Liz Sherman
419,419,Luna
420,420,Lyja
431,431,Mantis
433,433,Marvel Girl
439,439,Maxima
440,440,Maya Herrera
441,441,Medusa
442,442,Meltdown
444,444,Mera
447,447,Meteorite
453,453,Minna Murray
454,454,Misfit
455,455,Miss Martian
462,462,Mockingbird
469,469,Monica Dawson
471,471,Moonstone
477,477,Ms Marvel II
480,480,Mystique
483,483,Namora
484,484,Namorita
487,487,Nebula
488,488,Negasonic Teenage Warhead
492,492,Niki Sanders
493,493,Nina Theroux
497,497,Nova
505,505,Oracle
512,512,Penance I
517,517,Phantom Girl
518,518,Phoenix
522,522,Plastique
523,523,Poison Ivy
524,524,Polaris
525,525,Power Girl
531,531,Psylocke
541,541,Rachel Pirzad
544,544,Raven
556,556,Renata Soliz
557,557,Rey
562,562,Ripcord
567,567,Robin VI
569,569,Rogue
573,573,Sage
581,581,Scarlet Witch
582,582,Scorpia
587,587,Shadow Lass
588,588,Shadowcat
591,591,She-Hulk
592,592,She-Thing
594,594,Shriek
595,595,Shrinking Violet
596,596,Sif
597,597,Silk
598,598,Silk Spectre
599,599,Silk Spectre II
601,601,Silverclaw
604,604,Siren
605,605,Siren II
606,606,Siryn
609,609,Snowbird
612,612,Songbird
618,618,Speedy
620,620,Spider-Girl
621,621,Spider-Gwen
625,625,Spider-Woman
626,626,Spider-Woman II
627,627,Spider-Woman III
628,628,Spider-Woman IV
631,631,Stacy X
634,634,Starfire
635,635,Stargirl
638,638,Stephanie Powell
640,640,Storm
645,645,Supergirl
654,654,T-X
656,656,Tempest
662,662,Thor Girl
667,667,Thundra
669,669,Tigra
675,675,Tracy Strauss
678,678,Triplicate Girl
681,681,Ultragirl
684,684,Vagabond
685,685,Valerie Hart
686,686,Valkyrie
693,693,Vertigo II
695,695,Vindicator
698,698,Violet Parr
701,701,Vixen
706,706,Warbird
710,710,Wasp
713,713,White Canary
714,714,White Queen
718,718,Wolfsbane
720,720,Wonder Girl
722,722,Wonder Woman
723,723,Wondra
725,725,X-23
729,729,Yellowjacket II
732,732,Zatanna
